step,energy,beta,lambda,delta
0,0.668293,2.19108,1,0.9
1,0.320179,40.8945,0.7939,0.9
2,0.323195,5.9924,0.831281,0.9
3,0.294132,6.61045,0.923303,0.9
4,0.279268,51.0094,0.996096,0.9
5,0.271904,21.7713,1.14348,0.9
6,0.231222,16.2642,1.3329,0.9
7,0.245398,34.3494,1.54781,0.9
8,0.117319,12.7577,1.78932,0.9
9,0.184322,20.0895,2.22292,0.9
10,0.0557156,11.0326,2.65237,0.9
11,0.089962,16.4794,3.145,0.9
12,0.135393,98.46,3.69884,0.9
13,0.0488091,13.2792,4.47366,0.9
14,0.0824032,25.3241,5.45524,0.9
15,0.124796,269.357,6.54594,0.9
16,0.0737,38.5849,7.95562,0.9
17,0.0809536,46.9521,9.80824,0.9
18,0.0936222,285.149,12.0782,0.9
19,0.0353107,62.792,14.8709,0.9
20,0.0230103,178.266,18.5101,0.9
21,0.0416718,110.904,22.8744,0.9
22,0.0324078,440.164,28.5115,0.9
23,0.0314808,485.769,35.5703,0.9
24,0.0283642,214.941,44.4714,0.9
25,0.035862,131.433,55.8,0.9
26,0.0202579,122.896,69.1658,0.9
27,0.0207596,392.036,85.7949,0.9
28,0.0185719,336.159,106.871,0.9
29,0.00770187,670.156,133.617,0.9
