step,energy,beta,lambda,delta
0,3.67952,14.7153,1,0.5
1,3.4263,8.67534,0.963829,0.5
2,3.60569,16.4463,0.961462,0.5
3,3.74768,17.5779,0.962622,0.5
4,3.71765,23.7252,0.969984,0.5
5,3.3467,9.33634,0.979203,0.5
6,3.33474,29.028,0.994031,0.5
7,3.32338,66.0195,1.00946,0.5
8,3.06368,49.8867,1.02826,0.5
9,2.93304,6.43869,1.04955,0.5
10,3.21726,11.9912,1.07053,0.5
11,3.05302,52.7406,1.09612,0.5
12,3.30532,17.8185,1.12181,0.5
13,3.26888,18.3609,1.14786,0.5
14,3.16958,19.8328,1.17608,0.5
15,3.34224,21.6393,1.205,0.5
16,3.05269,58.3856,1.23519,0.5
17,3.15142,33.4831,1.26656,0.5
18,3.31893,13.8231,1.30061,0.5
19,3.36482,11.2858,1.33599,0.5
20,3.46496,983.515,1.37285,0.5
21,3.2716,12.3635,1.41195,0.5
22,3.61535,21.7642,1.45199,0.5
23,3.71804,163.403,1.49326,0.5
24,3.62492,202.342,1.53712,0.5
25,3.07613,7.46864,1.58246,0.5
26,2.0489,3.11769,1.63034,0.5
27,2.04677,14.2721,1.67944,0.5
28,1.85057,6.62397,1.73048,0.5
29,1.90405,10.8705,1.78351,0.5
30,1.92711,8.99736,1.83859,0.5
31,1.78396,5.8322,1.89594,0.5
32,1.29642,2.82565,1.95526,0.5
33,1.78973,13.6725,2.0177,0.5
34,2.02329,9.29919,2.08264,0.5
35,2.03204,58.0943,2.14973,0.5
36,2.13589,143.3,2.21843,0.5
37,2.16147,72.8203,2.28936,0.5
38,1.87577,21.9762,2.36262,0.5
39,1.88195,19.6893,2.43872,0.5
40,2.14621,17.7219,2.51761,0.5
41,2.11755,13.8799,2.5995,0.5
42,2.09003,12.4481,2.68399,0.5
43,1.23652,3.26382,2.77185,0.5
44,1.43849,6.62167,2.86276,0.5
45,1.35619,15.5463,2.9574,0.5
46,1.21691,9.62781,3.05528,0.5
47,1.0771,9.16314,3.15594,0.5
48,0.977587,6.47058,3.26061,0.5
49,1.25474,5.6463,3.36915,0.5
50,1.20286,12.2305,3.48193,0.5
51,1.61847,31.9392,3.59824,0.5
52,1.54227,13.0947,3.71874,0.5
53,1.31209,39.3987,3.84415,0.5
54,1.0374,5.1414,3.97409,0.5
55,0.768021,6.35107,4.10842,0.5
56,0.542259,9.14845,4.2474,0.5
57,0.710417,50.1599,4.39101,0.5
58,0.950811,9.2866,4.54007,0.5
59,1.16434,10.0102,4.69386,0.5
60,1.18712,20.5647,4.85383,0.5
61,1.16395,103.624,5.0191,0.5
62,1.21797,31.0419,5.19025,0.5
63,0.93726,16.2258,5.36775,0.5
64,1.07769,49.3488,5.55137,0.5
65,1.33542,556.522,5.74085,0.5
66,0.985548,5.56871,5.9375,0.5
67,0.878386,8.50422,6.14179,0.5
68,0.741447,21.0555,6.35443,0.5
69,0.87146,30.0543,6.57476,0.5
70,0.661598,4.79856,6.80269,0.5
71,0.767504,21.3543,7.03823,0.5
72,0.8011,41.5738,7.28305,0.5
73,1.10163,18.2948,7.53599,0.5
74,0.82271,5.30523,7.79705,0.5
75,0.621134,8.82582,8.06717,0.5
76,0.43808,84.9978,8.34832,0.5
77,0.720549,23.4883,8.64001,0.5
78,0.636715,10.6459,8.94211,0.5
79,0.620434,15.2755,9.25519,0.5
80,0.829044,9.54263,9.57967,0.5
81,0.54278,38.3452,9.91556,0.5
82,0.456354,7.24549,10.2631,0.5
83,0.459007,17.7144,10.6231,0.5
84,0.558632,30.9563,10.9963,0.5
85,0.495054,10.7239,11.3825,0.5
86,0.604206,22.7995,11.7822,0.5
87,0.471853,52.7836,12.1965,0.5
88,0.335789,48.3786,12.625,0.5
89,0.305101,16.9092,13.0685,0.5
90,0.43527,14.2013,13.527,0.5
91,0.363482,28.5139,14.0031,0.5
92,0.402597,39.1546,14.495,0.5
93,0.460762,34.0794,15.0047,0.5
94,0.300898,9.5947,15.5342,0.5
95,0.553217,342.818,16.0806,0.5
96,0.564779,20.6898,16.6471,0.5
97,0.378838,8.43324,17.2368,0.5
98,0.353462,11.5485,17.8476,0.5
99,0.278902,123.545,18.4799,0.5
100,0.144735,8.78471,19.1351,0.5
101,0.319809,281.436,19.8147,0.5
102,0.310291,29.038,20.5192,0.5
103,0.30674,13.5673,21.2483,0.5
104,0.287268,56.4761,22.003,0.5
105,0.457493,70.5442,22.7841,0.5
106,0.488434,15.7033,23.5927,0.5
107,0.370916,19.8712,24.4305,0.5
108,0.354578,103.048,25.2986,0.5
109,0.307917,107.455,26.1999,0.5
110,0.241228,31.5757,27.1339,0.5
111,0.217354,12.3827,28.1027,0.5
112,0.233789,16.7064,29.108,0.5
113,0.244467,46.3234,30.1498,0.5
114,0.212786,27.4344,31.2274,0.5
115,0.220966,56.369,32.3439,0.5
116,0.222506,24.5139,33.5004,0.5
117,0.181805,24.8181,34.6995,0.5
118,0.195772,47.8685,35.9424,0.5
119,0.201483,33.6188,37.2297,0.5
120,0.192595,17.1682,38.5648,0.5
121,0.219954,46.8927,39.9499,0.5
122,0.220839,26.0591,41.3855,0.5
123,0.202843,233.437,42.8716,0.5
124,0.172703,19.5988,44.4118,0.5
125,0.185488,72.5867,46.0071,0.5
126,0.143164,31.2698,47.6597,0.5
127,0.113111,27.2434,49.3763,0.5
128,0.192778,153.34,51.1569,0.5
129,0.173416,32.5525,53.0005,0.5
130,0.109316,23.6326,54.9095,0.5
131,0.158588,34.5606,56.8874,0.5
132,0.203575,96.2942,58.9373,0.5
133,0.201298,54.0341,61.0605,0.5
134,0.164259,180.346,63.2642,0.5
135,0.190945,976.905,65.5472,0.5
136,0.194849,26.2577,67.9135,0.5
137,0.238894,92.4715,70.3657,0.5
138,0.205217,59.1181,72.9111,0.5
139,0.220551,48.7745,75.5471,0.5
140,0.204292,42.783,78.2787,0.5
141,0.205923,718.199,81.1072,0.5
142,0.141481,48.4944,84.045,0.5
143,0.0850677,46.3528,87.0911,0.5
144,0.17815,149.223,90.2444,0.5
