step,energy,beta,lambda,delta
0,3614.79,0.00153915,1,3.14
1,9689.7,0.00254441,0.98311,3.14
2,7042.82,0.00262296,0.982801,3.14
3,5409.82,0.00166183,0.991422,3.14
4,8146.86,0.00309095,0.999895,3.14
5,6553,0.00193572,1.01013,3.14
6,11133.3,0.00432489,1.02243,3.14
7,9269.94,0.00253636,1.03537,3.14
8,7723.92,0.00316809,1.04937,3.14
9,8233.94,0.00180788,1.06328,3.14
10,8569.95,0.00217927,1.07853,3.14
11,5908,0.00133091,1.09375,3.14
12,6483.19,0.00136671,1.10975,3.14
13,8089.96,0.00212248,1.12612,3.14
14,8183.33,0.00482926,1.143,3.14
15,4076.07,0.00132958,1.16035,3.14
16,6449.72,0.00178737,1.17769,3.14
17,4848.07,0.00161967,1.19565,3.14
18,11559.1,0.00280322,1.21418,3.14
19,6068.95,0.00184008,1.23299,3.14
20,6703.78,0.00203419,1.25226,3.14
21,5312.38,0.00175016,1.27226,3.14
22,6754.05,0.00292452,1.29223,3.14
23,7765.7,0.00164567,1.31273,3.14
24,10306.3,0.00285298,1.33347,3.14
25,4001.36,0.00114479,1.35475,3.14
26,4820.39,0.00260761,1.37634,3.14
27,10768.7,0.00324085,1.39833,3.14
28,11766.3,0.00178404,1.42068,3.14
29,6915.83,0.00206224,1.44346,3.14
30,11045.6,0.00241457,1.4668,3.14
31,8584.33,0.00238107,1.49014,3.14
32,10155.9,0.00176459,1.51443,3.14
33,5397.31,0.00194359,1.53907,3.14
34,5359.8,0.00222914,1.56406,3.14
35,4984.28,0.00197713,1.58915,3.14
36,10654,0.0023361,1.61529,3.14
37,5460.39,0.00187996,1.6416,3.14
38,10378.2,0.00255783,1.66836,3.14
39,4365.55,0.00267083,1.69556,3.14
40,5769.93,0.00203005,1.72319,3.14
41,7842.51,0.00187244,1.7513,3.14
42,11128.4,0.00333698,1.77988,3.14
43,4220.9,0.0015451,1.80921,3.14
44,7612.06,0.00313975,1.83901,3.14
45,9824.86,0.00199856,1.86912,3.14
46,11930.9,0.0024343,1.89993,3.14
47,8972.03,0.00216364,1.93116,3.14
48,3170.72,0.00114839,1.96286,3.14
49,11116.4,0.00285605,1.99522,3.14
50,6580.65,0.0027019,2.02803,3.14
51,4433.12,0.0015158,2.06182,3.14
52,7402.98,0.00259458,2.09595,3.14
53,8847.36,0.00325395,2.13067,3.14
54,9993.53,0.00214932,2.16594,3.14
55,8231.85,0.00316851,2.2019,3.14
56,7772.74,0.00163238,2.23824,3.14
57,4534.09,0.00263559,2.27523,3.14
58,5348.64,0.00192332,2.31271,3.14
59,4591.7,0.0014711,2.35097,3.14
60,9229.78,0.00213638,2.38987,3.14
61,3938.31,0.00170119,2.42963,3.14
62,5579.86,0.00244368,2.47001,3.14
63,7592.83,0.00209461,2.51113,3.14
64,5238.29,0.00189498,2.55284,3.14
65,9555.28,0.00360929,2.59521,3.14
66,9467.85,0.00199735,2.63851,3.14
67,5322.02,0.00194788,2.68271,3.14
68,10602.2,0.00337885,2.7274,3.14
